company_name,supplier_name,shipment_id,country,product_description,services_rating,total_shipments,unique_suppliers,lead_score,is_good_lead
Goodwin-Fisher,Alexander LLC,100000,Isle of Man,Furniture,3,1,1,24.299065420560744,False
Long-Ortega,"Lyons, Scott and Douglas",100001,Ireland,LED Bulbs,4,1,1,36.44859813084112,True
Buck PLC,"Collins, Edwards and Murphy",100002,Mozambique,Furniture,5,1,1,48.59813084112149,True
"Davenport, Hampton and Smith",Jacobs and Sons,100003,Norway,Furniture,3,1,1,24.299065420560744,False
"Lowe, Johnson and Arellano",Briggs Ltd,100004,United Arab Emirates,Solar Panels,5,1,1,48.59813084112149,True
Smith PLC,Barrett and Sons,100005,Armenia,Plastic Sheets,3,16,16,56.45959318306761,True
Patterson Group,Mora Ltd,100006,Venezuela,Solar Panels,5,4,4,85.04672897196261,True
Davis-Mcbride,"Weaver, Bass and Brewer",100007,Puerto Rico,LED Bulbs,4,1,1,36.44859813084112,True
Reese-Smith,Miller-Bowen,100008,United States Minor Outlying Islands,Plastic Sheets,2,1,1,12.149532710280374,False
"Williams, Smith and Peterson",Johnston-Hawkins,100009,Somalia,LED Bulbs,3,1,1,24.299065420560744,False
"West, Cannon and Dickerson","Vazquez, Peterson and Robertson",100010,Iceland,LED Bulbs,2,1,1,12.149532710280374,False
Kent-Hensley,Collins Group,100011,Cocos (Keeling) Islands,Mobile Chargers,1,1,1,0.0,False
Sanders-Rodriguez,Smith-Middleton,100012,Hungary,Furniture,5,1,1,48.59813084112149,True
Anderson-Ellis,Williams LLC,100013,Antigua and Barbuda,Mobile Chargers,3,1,1,24.299065420560744,False
"Schmidt, Savage and Vance","Chavez, Moore and Smith",100014,Martinique,Plastic Sheets,2,1,1,12.149532710280374,False
"Rose, Garcia and Hunt",Mitchell-Bennett,100015,Togo,LED Bulbs,1,1,1,0.0,False
Hernandez LLC,Hart LLC,100016,British Virgin Islands,LED Bulbs,4,7,7,72.89719626168224,True
"Johnson, Key and Ford",Scott-Hill,100017,Canada,Plastic Sheets,2,1,1,12.149532710280374,False
Mcdonald-Jones,Giles LLC,100018,Myanmar,Solar Panels,4,1,1,36.44859813084112,True
"Perez, Patterson and Elliott",Burgess-Gallegos,100019,El Salvador,LED Bulbs,1,1,1,0.0,False
"Bray, Atkinson and Williams","Valenzuela, Torres and Carlson",100020,Burundi,Solar Panels,1,1,1,0.0,False
Reynolds-Bowers,Rivera Ltd,100021,Paraguay,Plastic Sheets,4,1,1,36.44859813084112,True
"Mercado, Campbell and Booker",Ramirez-Allen,100022,Guinea-Bissau,Solar Panels,2,1,1,12.149532710280374,False
Kirby-Rojas,Pierce Ltd,100023,Lithuania,Mobile Chargers,5,1,1,48.59813084112149,True
Goodwin Ltd,"Andrade, Reid and Rodriguez",100024,Bahrain,Solar Panels,4,2,2,52.64797507788161,True
"Deleon, Sawyer and Walker","Perez, Alvarez and Bowers",100025,Anguilla,Mobile Chargers,4,1,1,36.44859813084112,True
"Rodriguez, Roberts and Hicks","Price, Wilcox and James",100026,Vietnam,LED Bulbs,1,1,1,0.0,False
"Miller, Lewis and Mckenzie",Morrison-Marshall,100027,Nigeria,Solar Panels,1,1,1,0.0,False
Fernandez-Harvey,Miller Ltd,100028,Palau,LED Bulbs,5,1,1,48.59813084112149,True
Sanders-Martinez,"Richard, Stanley and Lewis",100029,Netherlands,Solar Panels,5,1,1,48.59813084112149,True
"Church, Moore and Cummings",Warren and Sons,100030,Slovenia,Solar Panels,1,1,1,0.0,False
Byrd-Rodriguez,Hoffman-Wolf,100031,Tuvalu,Furniture,3,1,1,24.299065420560744,False
"Hess, Adams and Smith",Jones LLC,100032,Sudan,LED Bulbs,4,1,1,36.44859813084112,True
"Douglas, Kirby and Johnson",Myers and Sons,100033,Palestinian Territory,Plastic Sheets,4,1,1,36.44859813084112,True
Krueger LLC,Lindsey-Wilson,100034,Bahrain,Plastic Sheets,1,1,1,0.0,False
"Reese, Martin and Jackson",White-Mccoy,100035,Hong Kong,LED Bulbs,2,1,1,12.149532710280374,False
Graham-Hayes,Garza-Jones,100036,Iran,Mobile Chargers,2,1,1,12.149532710280374,False
Mcguire-Velez,"Gibson, Mcknight and Estrada",100037,Cyprus,Plastic Sheets,5,1,1,48.59813084112149,True
Cooper-Miller,"Johnson, Brown and Edwards",100038,Tonga,LED Bulbs,3,1,1,24.299065420560744,False
Jackson-Campbell,Morris LLC,100039,Belarus,Furniture,1,1,1,0.0,False
"Rosales, Cantu and Sanchez",Watson LLC,100040,French Polynesia,Mobile Chargers,3,1,1,24.299065420560744,False
Clark Inc,"Bennett, Morris and Moore",100041,Morocco,Mobile Chargers,2,4,4,26.728971962616825,True
Vasquez-Blake,"Mccoy, Daniel and Jones",100042,Netherlands Antilles,Furniture,4,1,1,36.44859813084112,True
Wilson-Dixon,Hicks-Wise,100043,Macao,Furniture,3,1,1,24.299065420560744,False
"Cannon, Thompson and Gomez",Craig-Nichols,100044,France,Furniture,4,1,1,36.44859813084112,True
Buchanan-Wells,James Group,100045,Denmark,Mobile Chargers,3,1,1,24.299065420560744,False
Johnson-Lucero,"Rojas, Adams and Anderson",100046,Mayotte,LED Bulbs,1,1,1,0.0,False
Taylor-Jones,Thomas-Cox,100047,Niger,Furniture,2,1,1,12.149532710280374,False
"Jones, Rodgers and Cochran","Johnston, Myers and Klein",100048,Saint Lucia,Furniture,1,1,1,0.0,False
Espinoza-Brooks,Ross Ltd,100049,Dominican Republic,Mobile Chargers,4,1,1,36.44859813084112,True
Smith Group,"Sullivan, Hill and Shah",100050,Netherlands Antilles,Mobile Chargers,4,10,10,76.2107051826678,True
Walker-Dunlap,Meyer PLC,100051,Tanzania,Furniture,1,1,1,0.0,False
Porter-Day,Morris PLC,100052,Svalbard & Jan Mayen Islands,Mobile Chargers,4,1,1,36.44859813084112,True
Wagner-Lowery,Kidd LLC,100053,Zimbabwe,Furniture,2,1,1,12.149532710280374,False
King LLC,Anderson PLC,100054,Burkina Faso,Solar Panels,5,1,1,48.59813084112149,True
Holland-Turner,"Miranda, Wallace and Reyes",100055,Bahamas,Solar Panels,2,1,1,12.149532710280374,False
"Robbins, Wilson and Wells","Price, Poole and Oneal",100056,Gabon,LED Bulbs,1,1,1,0.0,False
Ford-Hunt,"Sandoval, Murray and Smith",100057,British Virgin Islands,Furniture,2,1,1,12.149532710280374,False
"Farmer, Martinez and Escobar","Fitzgerald, Gomez and Gomez",100058,Mexico,Solar Panels,5,1,1,48.59813084112149,True
Jones LLC,"Blanchard, Ward and Cantrell",100059,Guatemala,Plastic Sheets,4,6,6,71.16154873164218,True
Ross Inc,"Fry, Kemp and Fitzgerald",100060,Dominica,LED Bulbs,4,3,3,60.74766355140188,True
Love-Carson,Shepard Inc,100061,Pakistan,Furniture,3,1,1,24.299065420560744,False
"English, Foster and Yu","Jones, Gibson and Hess",100062,Gibraltar,Solar Panels,2,1,1,12.149532710280374,False
Lam-Norton,Carter Group,100063,British Indian Ocean Territory (Chagos Archipelago),Mobile Chargers,4,1,1,36.44859813084112,True
Hobbs-Shaw,"Bradshaw, Marshall and Jimenez",100064,Honduras,LED Bulbs,5,1,1,48.59813084112149,True
"Parker, Phillips and Smith",Hughes-Hunt,100065,Nigeria,LED Bulbs,4,1,1,36.44859813084112,True
Church Group,Nguyen Inc,100066,Aruba,Solar Panels,5,2,2,68.8473520249221,True
Cox-Gonzalez,Burns LLC,100067,Kuwait,Solar Panels,3,1,1,24.299065420560744,False
"Case, Sanchez and Reynolds",Alvarado Ltd,100068,Guinea,Furniture,5,1,1,48.59813084112149,True
Evans-Lee,Bradley-Solomon,100069,Marshall Islands,Furniture,4,1,1,36.44859813084112,True
Mccarthy PLC,Prince-Ramirez,100070,Malawi,Solar Panels,4,2,2,52.64797507788161,True
Gibson-Maddox,Manning-Krueger,100071,Tanzania,Plastic Sheets,2,1,1,12.149532710280374,False
"Hunter, Wilson and Bryant",Shaw Group,100072,Spain,Furniture,4,1,1,36.44859813084112,True
Hopkins Inc,"Perez, Dyer and Miles",100073,Cuba,LED Bulbs,2,2,2,20.24922118380062,False
"Williams, Fox and Washington",Horton-Palmer,100074,Czech Republic,Solar Panels,2,1,1,12.149532710280374,False
Garcia LLC,Malone PLC,100075,Morocco,Furniture,3,9,9,53.45794392523364,True
Davis Ltd,"Hurst, Lucero and Montgomery",100076,Luxembourg,Solar Panels,4,3,3,60.74766355140188,True
"Moreno, Williamson and Hutchinson",Mills Inc,100077,Costa Rica,Mobile Chargers,3,1,1,24.299065420560744,False
Becker-Harris,"Brooks, Barrera and Smith",100078,Tokelau,Solar Panels,2,1,1,12.149532710280374,False
Pearson PLC,"Owens, Carter and Gallegos",100079,Brazil,Furniture,4,1,1,36.44859813084112,True
Wallace PLC,Lopez Group,100080,France,Plastic Sheets,3,1,1,24.299065420560744,False
